Geographic Area Name (NAME),Population Universe (POPUNI),"Estimate, 0 components of social vulnerability (PRED0_E)","Margin of error, 0 components of social vulnerability (PRED0_M)","Percent, 0 components of social vulnerability (PRED0_PE)","Percent margin of error, 0 components of social vulnerability (PRED0_PM)","Estimate, 1-2 components of social vulnerability (PRED12_E)","Margin of error, 1-2 components of social vulnerability (PRED12_M)","Percent, 1-2 components of social vulnerability (PRED12_PE)","Percent margin of error, 1-2 components of social vulnerability (PRED12_PM)","Estimate, 3+ components of social vulnerability (PRED3_E)","Margin of error, 3+ components of social vulnerability (PRED3_M)","Percent, 3+ components of social vulnerability (PRED3_PE)","Percent margin of error, 3+ components of social vulnerability (PRED3_PM)"
"Rio Arriba County, New Mexico","39,826","8,532","1,478",21.42%,3.71%,"19,225","1,796",48.27%,4.51%,"12,069","1,649",30.30%,4.14%
"Hardin County, Ohio","28,714","11,457","1,478",39.90%,5.15%,"12,275","1,489",42.75%,5.19%,"4,982","1,187",17.35%,4.13%
"Greene County, Indiana","31,049","12,719","1,471",40.96%,4.74%,"11,970","1,489",38.55%,4.80%,"6,360","1,202",20.48%,3.87%
"Elmore County, Idaho","29,625","10,418","1,468",35.17%,4.96%,"14,233","1,540",48.04%,5.20%,"4,974","1,147",16.79%,3.87%
"Gallia County, Ohio","28,725","10,394","1,468",36.18%,5.11%,"10,856","1,488",37.79%,5.18%,"7,475","1,218",26.02%,4.24%
"Uvalde County, Texas","24,409","6,366","1,468",26.08%,6.01%,"11,473","1,686",47.00%,6.91%,"6,570","1,496",26.92%,6.13%
"Goochland County, Virginia","26,384","10,066","1,468",38.15%,5.56%,"11,665","1,543",44.21%,5.85%,"4,653","1,299",17.64%,4.92%
"Jackson County, West Virginia","27,593","9,006","1,468",32.64%,5.32%,"11,851","1,527",42.95%,5.53%,"6,736","1,260",24.41%,4.57%
"Halifax County, Virginia","33,191","8,319","1,467",25.06%,4.42%,"13,501","1,605",40.68%,4.84%,"11,371","1,444",34.26%,4.35%
"Titus County, Texas","31,344","6,570","1,466",20.96%,4.68%,"17,083","1,704",54.50%,5.44%,"7,691","1,501",24.54%,4.79%
"Polk County, Wisconsin","45,683","16,398","1,466",35.90%,3.21%,"20,020","1,494",43.82%,3.27%,"9,265","1,227",20.28%,2.69%
"Snyder County, Pennsylvania","37,712","14,490","1,465",38.42%,3.88%,"14,203","1,481",37.66%,3.93%,"9,019","1,222",23.92%,3.24%
"Oneida County, Wisconsin","38,022","13,900","1,465",36.56%,3.85%,"16,572","1,520",43.59%,4.00%,"7,550","1,297",19.86%,3.41%
"Warren County, Pennsylvania","37,451","14,052","1,464",37.52%,3.91%,"15,114","1,487",40.36%,3.97%,"8,285","1,244",22.12%,3.32%
"Livingston County, Illinois","34,002","13,257","1,463",38.99%,4.30%,"14,097","1,488",41.46%,4.38%,"6,648","1,225",19.55%,3.60%
"Taylor County, Kentucky","25,282","8,842","1,462",34.97%,5.78%,"10,221","1,534",40.43%,6.07%,"6,219","1,324",24.60%,5.24%
"Marion County, South Carolina","28,439","6,972","1,459",24.52%,5.13%,"12,449","1,622",43.77%,5.70%,"9,018","1,475",31.71%,5.19%
"Clinton County, Pennsylvania","36,119","14,470","1,458",40.06%,4.04%,"12,891","1,469",35.69%,4.07%,"8,758","1,208",24.25%,3.34%
"Howard County, Texas","28,596","8,594","1,458",30.05%,5.10%,"12,585","1,611",44.01%,5.63%,"7,417","1,382",25.94%,4.83%
"Hot Spring County, Arkansas","30,868","8,867","1,456",28.73%,4.72%,"13,829","1,601",44.80%,5.19%,"8,172","1,382",26.47%,4.48%
"Neshoba County, Mississippi","28,658","8,270","1,456",28.86%,5.08%,"12,835","1,584",44.79%,5.53%,"7,553","1,400",26.36%,4.89%
"White County, Georgia","28,440","8,557","1,455",30.09%,5.12%,"13,830","1,531",48.63%,5.38%,"6,053","1,281",21.28%,4.50%
"Palo Pinto County, Texas","29,657","7,385","1,454",24.90%,4.90%,"14,819","1,595",49.97%,5.38%,"7,453","1,362",25.13%,4.59%
"Shawano County, Wisconsin","40,961","15,137","1,450",36.95%,3.54%,"18,318","1,498",44.72%,3.66%,"7,506","1,248",18.32%,3.05%
"Bradford County, Florida","25,524","7,218","1,448",28.28%,5.67%,"12,559","1,531",49.20%,6.00%,"5,747","1,309",22.52%,5.13%
"Jefferson County, Illinois","34,965","12,428","1,447",35.54%,4.14%,"14,676","1,477",41.97%,4.22%,"7,861","1,219",22.48%,3.49%
"Delaware County, Oklahoma","41,633","8,586","1,445",20.62%,3.47%,"20,675","1,645",49.66%,3.95%,"12,372","1,480",29.72%,3.55%
"Elbert County, Colorado","28,786","12,910","1,444",44.85%,5.02%,"11,808","1,527",41.02%,5.30%,"4,068","1,175",14.13%,4.08%
"Webster Parish, Louisiana","35,238","8,331","1,444",23.64%,4.10%,"16,055","1,638",45.56%,4.65%,"10,852","1,492",30.80%,4.23%
"Pike County, Alabama","31,274","8,932","1,442",28.56%,4.61%,"14,248","1,550",45.56%,4.96%,"8,094","1,391",25.88%,4.45%
"Teton County, Wyoming","23,162","7,442","1,441",32.13%,6.22%,"12,083","1,522",52.17%,6.57%,"3,637","1,166",15.70%,5.03%
"Fannin County, Georgia","25,942","6,777","1,437",26.12%,5.54%,"12,399","1,553",47.80%,5.99%,"6,766","1,360",26.08%,5.24%
"Logan County, Kentucky","28,151","9,429","1,437",33.49%,5.10%,"12,619","1,505",44.83%,5.35%,"6,103","1,287",21.68%,4.57%
"Greenbrier County, West Virginia","32,129","9,748","1,436",30.34%,4.47%,"13,727","1,518",42.72%,4.72%,"8,654","1,296",26.94%,4.03%
"Marshall County, West Virginia","28,813","9,991","1,436",34.68%,4.98%,"12,350","1,509",42.86%,5.24%,"6,472","1,273",22.46%,4.42%
"Decatur County, Indiana","26,289","10,635","1,435",40.45%,5.46%,"11,325","1,428",43.08%,5.43%,"4,329","1,127",16.47%,4.29%
"Houghton County, Michigan","34,283","11,402","1,435",33.26%,4.19%,"16,910","1,445",49.32%,4.21%,"5,971","1,160",17.42%,3.38%
"Woodford County, Kentucky","26,834","9,924","1,433",36.98%,5.34%,"11,409","1,467",42.52%,5.47%,"5,501","1,197",20.50%,4.46%
"Carroll County, Virginia","29,230","8,976","1,432",30.71%,4.90%,"12,289","1,516",42.04%,5.19%,"7,965","1,286",27.25%,4.40%
"Jasper County, Texas","32,454","8,228","1,427",25.35%,4.40%,"15,404","1,600",47.46%,4.93%,"8,822","1,421",27.18%,4.38%
"Stephens County, Georgia","26,706","8,926","1,426",33.42%,5.34%,"10,957","1,511",41.03%,5.66%,"6,823","1,290",25.55%,4.83%
"Putnam County, Ohio","34,199","14,363","1,426",42.00%,4.17%,"14,119","1,443",41.28%,4.22%,"5,717","1,160",16.72%,3.39%
"Dickinson County, Michigan","25,940","9,922","1,422",38.25%,5.48%,"10,468","1,455",40.35%,5.61%,"5,550","1,211",21.40%,4.67%
"Adams County, Mississippi","27,620","6,587","1,422",23.85%,5.15%,"12,195","1,612",44.15%,5.84%,"8,838","1,531",32.00%,5.54%
"Elk County, Pennsylvania","30,162","11,930","1,422",39.55%,4.71%,"12,317","1,443",40.84%,4.78%,"5,915","1,203",19.61%,3.99%
"Hill County, Texas","37,897","8,678","1,421",22.90%,3.75%,"19,816","1,609",52.29%,4.25%,"9,403","1,413",24.81%,3.73%
"Emmet County, Michigan","33,987","12,853","1,419",37.82%,4.18%,"14,429","1,464",42.45%,4.31%,"6,705","1,233",19.73%,3.63%
"Butts County, Georgia","24,123","8,088","1,413",33.53%,5.86%,"10,073","1,495",41.76%,6.20%,"5,962","1,268",24.72%,5.26%
"Muhlenberg County, Kentucky","29,351","9,425","1,408",32.11%,4.80%,"12,785","1,477",43.56%,5.03%,"7,141","1,287",24.33%,4.38%
"Evangeline Parish, Louisiana","30,780","8,442","1,407",27.43%,4.57%,"13,221","1,571",42.95%,5.10%,"9,117","1,401",29.62%,4.55%
"Malheur County, Oregon","29,052","6,184","1,406",21.29%,4.84%,"16,629","1,572",57.24%,5.41%,"6,239","1,275",21.48%,4.39%
"Adams County, Ohio","27,507","8,687","1,405",31.58%,5.11%,"12,757","1,416",46.38%,5.15%,"6,063","1,135",22.04%,4.13%
"Manassas Park city, Virginia","16,361","5,218","1,405",31.89%,8.59%,"7,804","1,501",47.70%,9.17%,"3,339","1,207",20.41%,7.38%
"Burke County, Georgia","24,355","8,074","1,404",33.15%,5.76%,"10,010","1,521",41.10%,6.25%,"6,271","1,344",25.75%,5.52%
"Obion County, Tennessee","30,327","9,599","1,404",31.65%,4.63%,"13,058","1,501",43.06%,4.95%,"7,670","1,330",25.29%,4.39%
"Siskiyou County, California","42,734","11,396","1,403",26.67%,3.28%,"20,112","1,620",47.06%,3.79%,"11,226","1,396",26.27%,3.27%
"Dakota County, Nebraska","21,167","5,601","1,403",26.46%,6.63%,"11,125","1,508",52.56%,7.12%,"4,441","1,242",20.98%,5.87%
"Accomack County, Virginia","33,097","9,632","1,403",29.10%,4.24%,"13,974","1,561",42.22%,4.72%,"9,491","1,405",28.68%,4.25%
"Green County, Wisconsin","36,936","15,038","1,403",40.71%,3.80%,"15,483","1,419",41.92%,3.84%,"6,415","1,155",17.37%,3.13%
"Glenn County, California","28,118","6,995","1,402",24.88%,4.99%,"16,139","1,571",57.40%,5.59%,"4,984","1,276",17.73%,4.54%
"Wythe County, Virginia","28,085","9,157","1,402",32.60%,4.99%,"11,676","1,464",41.57%,5.21%,"7,252","1,218",25.82%,4.34%
"Ripley County, Indiana","29,122","11,233","1,401",38.57%,4.81%,"11,572","1,413",39.74%,4.85%,"6,317","1,142",21.69%,3.92%
"Montgomery County, Kansas","30,087","10,465","1,397",34.78%,4.64%,"12,531","1,437",41.65%,4.78%,"7,091","1,179",23.57%,3.92%
"Blaine County, Idaho","24,972","6,557","1,396",26.26%,5.59%,"13,680","1,526",54.78%,6.11%,"4,735","1,247",18.96%,4.99%
"Scott County, Mississippi","27,504","7,029","1,394",25.56%,5.07%,"11,993","1,526",43.60%,5.55%,"8,482","1,374",30.84%,5.00%
"Fremont County, Wyoming","39,066","10,283","1,394",26.32%,3.57%,"20,024","1,563",51.26%,4.00%,"8,759","1,322",22.42%,3.38%
"Boone County, Iowa","26,355","12,163","1,393",46.15%,5.29%,"9,873","1,390",37.46%,5.27%,"4,319","1,084",16.39%,4.11%
"Crook County, Oregon","26,921","7,327","1,392",27.22%,5.17%,"13,404","1,556",49.79%,5.78%,"6,190","1,287",22.99%,4.78%
"Dillon County, South Carolina","27,592","7,199","1,392",26.09%,5.04%,"12,385","1,517",44.89%,5.50%,"8,008","1,346",29.02%,4.88%
"Austin County, Texas","31,619","9,884","1,392",31.26%,4.40%,"14,115","1,597",44.64%,5.05%,"7,620","1,419",24.10%,4.49%
"Lumpkin County, Georgia","31,661","10,750","1,389",33.95%,4.39%,"13,938","1,457",44.02%,4.60%,"6,973","1,214",22.02%,3.83%
"Fayette County, Indiana","23,322","8,932","1,389",38.30%,5.96%,"9,071","1,392",38.89%,5.97%,"5,319","1,129",22.81%,4.84%
"Pottawatomie County, Kansas","26,280","12,562","1,388",47.80%,5.28%,"9,972","1,392",37.95%,5.30%,"3,746","1,047",14.25%,3.98%
"Stoddard County, Missouri","28,347","10,440","1,386",36.83%,4.89%,"11,447","1,396",40.38%,4.92%,"6,460","1,097",22.79%,3.87%
"Gaines County, Texas","22,477","5,576","1,384",24.81%,6.16%,"10,777","1,532",47.95%,6.82%,"6,124","1,252",27.25%,5.57%
"Washington County, Indiana","28,062","11,532","1,383",41.09%,4.93%,"10,751","1,393",38.31%,4.96%,"5,779","1,112",20.59%,3.96%
"Marion County, Mississippi","23,834","7,561","1,382",31.72%,5.80%,"9,978","1,482",41.86%,6.22%,"6,295","1,330",26.41%,5.58%
"Toombs County, Georgia","26,995","7,715","1,381",28.58%,5.12%,"12,651","1,491",46.86%,5.52%,"6,629","1,289",24.56%,4.77%
"Hart County, Georgia","27,048","9,557","1,378",35.33%,5.09%,"10,930","1,475",40.41%,5.45%,"6,561","1,275",24.26%,4.71%
"Addison County, Vermont","35,092","13,506","1,377",38.49%,3.92%,"15,708","1,405",44.76%,4.00%,"5,878","1,078",16.75%,3.07%
"Yankton County, South Dakota","22,441","8,308","1,376",37.02%,6.13%,"8,556","1,395",38.13%,6.22%,"5,577","1,149",24.85%,5.12%
"Jefferson County, Washington","33,490","7,321","1,376",21.86%,4.11%,"16,732","1,643",49.96%,4.91%,"9,437","1,468",28.18%,4.38%
"Carter County, Kentucky","25,855","9,465","1,375",36.61%,5.32%,"10,194","1,433",39.43%,5.54%,"6,196","1,222",23.96%,4.73%
"Van Wert County, Ohio","28,651","10,562","1,373",36.86%,4.79%,"12,799","1,376",44.67%,4.80%,"5,290","1,094",18.46%,3.82%
"McDuffie County, Georgia","21,728","5,780","1,372",26.60%,6.31%,"10,109","1,493",46.53%,6.87%,"5,839","1,317",26.87%,6.06%
"Barton County, Kansas","24,759","8,616","1,372",34.80%,5.54%,"10,261","1,386",41.44%,5.60%,"5,882","1,101",23.76%,4.45%
"Seneca County, New York","31,423","10,442","1,372",33.23%,4.37%,"12,597","1,392",40.09%,4.43%,"8,384","1,150",26.68%,3.66%
"Carroll County, Ohio","26,735","9,679","1,371",36.20%,5.13%,"10,919","1,396",40.84%,5.22%,"6,137","1,151",22.95%,4.31%
"Smyth County, Virginia","28,972","9,627","1,369",33.23%,4.73%,"11,893","1,428",41.05%,4.93%,"7,452","1,189",25.72%,4.10%
"Sequoyah County, Oklahoma","40,182","9,595","1,368",23.88%,3.40%,"18,224","1,526",45.35%,3.80%,"12,363","1,332",30.77%,3.31%
"Fulton County, Illinois","30,876","11,107","1,367",35.97%,4.43%,"13,501","1,391",43.73%,4.51%,"6,268","1,150",20.30%,3.72%
"Hickman County, Tennessee","24,696","7,379","1,367",29.88%,5.54%,"11,526","1,425",46.67%,5.77%,"5,791","1,208",23.45%,4.89%
"Grant County, Kentucky","25,412","8,905","1,366",35.04%,5.38%,"11,556","1,411",45.47%,5.55%,"4,951","1,161",19.48%,4.57%
"Freeborn County, Minnesota","30,415","10,343","1,366",34.01%,4.49%,"13,894","1,398",45.68%,4.60%,"6,178","1,140",20.31%,3.75%
"Grant County, New Mexico","27,124","6,144","1,366",22.65%,5.04%,"12,940","1,601",47.71%,5.90%,"8,040","1,435",29.64%,5.29%
"Scotland County, North Carolina","31,178","7,646","1,365",24.52%,4.38%,"12,802","1,521",41.06%,4.88%,"10,730","1,385",34.42%,4.44%
"Preston County, West Virginia","30,951","10,474","1,365",33.84%,4.41%,"13,188","1,422",42.61%,4.59%,"7,289","1,178",23.55%,3.81%
"Randolph County, West Virginia","25,222","8,014","1,365",31.77%,5.41%,"11,742","1,436",46.55%,5.69%,"5,466","1,217",21.67%,4.83%
"Grady County, Georgia","25,968","7,008","1,364",26.99%,5.25%,"12,330","1,494",47.48%,5.75%,"6,630","1,309",25.53%,5.04%
"Jerome County, Idaho","25,378","7,051","1,364",27.78%,5.37%,"11,994","1,475",47.26%,5.81%,"6,333","1,156",24.95%,4.56%
"Franklin County, Kansas","25,762","10,063","1,364",39.06%,5.29%,"10,798","1,354",41.91%,5.26%,"4,901","1,018",19.02%,3.95%
"Montezuma County, Colorado","26,434","5,899","1,363",22.32%,5.16%,"14,138","1,533",53.48%,5.80%,"6,397","1,315",24.20%,4.97%
"Oconto County, Wisconsin","39,699","16,011","1,362",40.33%,3.43%,"15,641","1,388",39.40%,3.50%,"8,047","1,130",20.27%,2.85%
"Grayson County, Kentucky","26,231","9,499","1,360",36.21%,5.18%,"10,208","1,415",38.92%,5.39%,"6,524","1,197",24.87%,4.56%
"Copiah County, Mississippi","26,870","7,465","1,358",27.78%,5.05%,"11,393","1,503",42.40%,5.59%,"8,012","1,394",29.82%,5.19%
"Davison County, South Dakota","19,785","8,209","1,356",41.49%,6.85%,"7,586","1,375",38.34%,6.95%,"3,990","1,106",20.17%,5.59%
"Asotin County, Washington","22,517","5,852","1,356",25.99%,6.02%,"11,085","1,429",49.23%,6.35%,"5,580","1,108",24.78%,4.92%
"Cassia County, Idaho","25,567","7,665","1,355",29.98%,5.30%,"13,082","1,459",51.17%,5.71%,"4,820","1,149",18.85%,4.49%
"Marion County, Tennessee","29,342","9,437","1,355",32.16%,4.62%,"12,828","1,428",43.72%,4.87%,"7,077","1,244",24.12%,4.24%
"Long County, Georgia","19,333","8,245","1,351",42.65%,6.99%,"7,851","1,422",40.61%,7.36%,"3,237","1,150",16.74%,5.95%
"Grimes County, Texas","29,728","6,847","1,351",23.03%,4.54%,"15,187","1,548",51.09%,5.21%,"7,694","1,374",25.88%,4.62%
"Rowan County, Kentucky","21,892","6,956","1,347",31.77%,6.15%,"9,653","1,393",44.09%,6.36%,"5,283","1,159",24.13%,5.29%
"Mercer County, Kentucky","23,008","8,274","1,346",35.96%,5.85%,"9,523","1,409",41.39%,6.12%,"5,211","1,212",22.65%,5.27%
"Franklin County, Maine","29,273","10,639","1,343",36.34%,4.59%,"12,413","1,367",42.40%,4.67%,"6,221","1,053",21.25%,3.60%
"Dawson County, Nebraska","23,994","9,043","1,343",37.69%,5.60%,"9,739","1,437",40.59%,5.99%,"5,212","1,178",21.72%,4.91%
"Greene County, Virginia","21,301","7,535","1,342",35.37%,6.30%,"9,343","1,409",43.86%,6.61%,"4,423","1,169",20.76%,5.49%
"Luna County, New Mexico","24,624","4,465","1,341",18.13%,5.45%,"13,365","1,559",54.28%,6.33%,"6,794","1,363",27.59%,5.54%
"Alpena County, Michigan","28,835","9,308","1,340",32.28%,4.65%,"11,797","1,377",40.91%,4.78%,"7,730","1,151",26.81%,3.99%
"Aransas County, Texas","25,162","5,421","1,340",21.54%,5.33%,"12,003","1,573",47.70%,6.25%,"7,738","1,434",30.75%,5.70%
"Essex County, New York","35,826","12,455","1,339",34.77%,3.74%,"15,274","1,367",42.63%,3.82%,"8,097","1,150",22.60%,3.21%
"Stone County, Missouri","32,606","9,166","1,336",28.11%,4.10%,"15,657","1,399",48.02%,4.29%,"7,783","1,182",23.87%,3.63%
"Allegany County, New York","42,049","14,529","1,335",34.55%,3.17%,"18,530","1,350",44.07%,3.21%,"8,990","1,120",21.38%,2.66%
"Plymouth County, Iowa","25,712","10,600","1,333",41.23%,5.18%,"10,175","1,336",39.57%,5.20%,"4,937","1,043",19.20%,4.06%
"Huntingdon County, Pennsylvania","39,128","13,633","1,330",34.84%,3.40%,"17,158","1,353",43.85%,3.46%,"8,337","1,137",21.31%,2.91%
"Cherokee County, North Carolina","29,841","7,851","1,327",26.31%,4.45%,"14,665","1,446",49.14%,4.85%,"7,325","1,282",24.55%,4.30%
"Henry County, Ohio","27,491","12,033","1,325",43.77%,4.82%,"10,606","1,348",38.58%,4.90%,"4,852","1,099",17.65%,4.00%
"Nicholas County, West Virginia","24,160","8,165","1,325",33.80%,5.48%,"9,316","1,389",38.56%,5.75%,"6,679","1,161",27.64%,4.81%
"Sanilac County, Michigan","40,261","14,002","1,323",34.78%,3.29%,"16,315","1,351",40.52%,3.36%,"9,944","1,108",24.70%,2.75%
"Posey County, Indiana","24,952","10,519","1,322",42.16%,5.30%,"9,611","1,339",38.52%,5.37%,"4,822","1,082",19.33%,4.34%
"Wasco County, Oregon","26,220","7,190","1,322",27.42%,5.04%,"13,852","1,467",52.83%,5.59%,"5,178","1,214",19.75%,4.63%
"Union County, South Carolina","26,473","7,554","1,322",28.53%,4.99%,"10,394","1,420",39.26%,5.36%,"8,525","1,243",32.20%,4.70%
"Okmulgee County, Oklahoma","36,198","10,237","1,321",28.28%,3.65%,"16,184","1,478",44.71%,4.08%,"9,777","1,303",27.01%,3.60%
"Beadle County, South Dakota","19,538","7,315","1,321",37.44%,6.76%,"8,343","1,354",42.70%,6.93%,"3,880","1,088",19.86%,5.57%
"Bell County, Kentucky","22,867","6,648","1,320",29.07%,5.77%,"9,963","1,375",43.57%,6.01%,"6,256","1,171",27.36%,5.12%
"Andrews County, Texas","18,664","6,935","1,317",37.16%,7.06%,"8,652","1,435",46.36%,7.69%,"3,077","1,196",16.49%,6.41%
"Gillespie County, Texas","27,694","7,470","1,314",26.97%,4.74%,"13,616","1,556",49.17%,5.62%,"6,608","1,431",23.86%,5.17%
"Christian County, Illinois","30,615","12,808","1,313",41.84%,4.29%,"12,446","1,322",40.65%,4.32%,"5,361","1,076",17.51%,3.51%
"Clarendon County, South Carolina","29,872","7,148","1,313",23.93%,4.40%,"13,721","1,463",45.93%,4.90%,"9,003","1,332",30.14%,4.46%
"Tioga County, Pennsylvania","39,738","15,016","1,312",37.79%,3.30%,"15,713","1,335",39.54%,3.36%,"9,009","1,113",22.67%,2.80%
"Moore County, Texas","21,161","5,857","1,312",27.68%,6.20%,"10,515","1,454",49.69%,6.87%,"4,789","1,231",22.63%,5.82%
"Mason County, West Virginia","24,212","8,746","1,311",36.12%,5.41%,"9,407","1,371",38.85%,5.66%,"6,059","1,143",25.02%,4.72%
"Lamoille County, Vermont","25,660","9,975","1,310",38.87%,5.11%,"11,835","1,320",46.12%,5.14%,"3,850",969,15.00%,3.78%
"Harlan County, Kentucky","25,107","8,175","1,309",32.56%,5.21%,"10,138","1,363",40.38%,5.43%,"6,794","1,160",27.06%,4.62%
"Carroll County, Tennessee","27,913","7,807","1,309",27.97%,4.69%,"13,145","1,385",47.09%,4.96%,"6,961","1,220",24.94%,4.37%
"Franklin County, Indiana","23,096","8,133","1,307",35.21%,5.66%,"10,633","1,319",46.04%,5.71%,"4,330","1,055",18.75%,4.57%
"Randolph County, Missouri","22,952","7,975","1,307",34.75%,5.69%,"10,482","1,310",45.67%,5.71%,"4,495","1,027",19.58%,4.47%
"Greene County, Pennsylvania","31,884","11,345","1,307",35.58%,4.10%,"13,541","1,322",42.47%,4.15%,"6,998","1,090",21.95%,3.42%
"Hood River County, Oregon","23,723","7,390","1,306",31.15%,5.51%,"12,240","1,433",51.60%,6.04%,"4,093","1,145",17.25%,4.83%
"Geneva County, Alabama","26,924","8,674","1,304",32.22%,4.84%,"10,482","1,383",38.93%,5.14%,"7,768","1,217",28.85%,4.52%
"Chippewa County, Michigan","32,458","10,933","1,304",33.68%,4.02%,"14,174","1,350",43.67%,4.16%,"7,351","1,131",22.65%,3.48%
"Itawamba County, Mississippi","22,932","8,299","1,304",36.19%,5.69%,"8,519","1,360",37.15%,5.93%,"6,114","1,168",26.66%,5.09%
"Caledonia County, Vermont","30,120","10,719","1,303",35.59%,4.33%,"13,650","1,324",45.32%,4.40%,"5,751","1,004",19.09%,3.33%
"Allen County, Kentucky","21,759","6,763","1,302",31.08%,5.98%,"9,657","1,351",44.38%,6.21%,"5,339","1,135",24.54%,5.22%
"Lyon County, Minnesota","24,927","10,947","1,302",43.92%,5.22%,"10,023","1,313",40.21%,5.27%,"3,957","1,027",15.87%,4.12%
"Del Norte County, California","24,856","6,595","1,301",26.53%,5.23%,"12,525","1,488",50.39%,5.99%,"5,736","1,259",23.08%,5.07%
"Grainger County, Tennessee","24,607","7,283","1,301",29.60%,5.29%,"11,003","1,366",44.71%,5.55%,"6,321","1,180",25.69%,4.80%
"Hardin County, Tennessee","27,187","7,610","1,301",27.99%,4.79%,"11,630","1,375",42.78%,5.06%,"7,947","1,213",29.23%,4.46%
"Union County, Georgia","26,753","5,930","1,300",22.17%,4.86%,"13,227","1,430",49.44%,5.35%,"7,596","1,280",28.39%,4.78%
"Lamar County, Georgia","19,786","6,484","1,299",32.77%,6.57%,"8,831","1,369",44.63%,6.92%,"4,471","1,154",22.60%,5.83%
"Clare County, Michigan","31,196","9,528","1,299",30.54%,4.16%,"11,798","1,332",37.82%,4.27%,"9,870","1,112",31.64%,3.56%
"San Jacinto County, Texas","28,852","6,113","1,299",21.19%,4.50%,"14,906","1,468",51.66%,5.09%,"7,833","1,290",27.15%,4.47%
"Otsego County, Michigan","25,710","9,625","1,298",37.44%,5.05%,"11,129","1,319",43.29%,5.13%,"4,956","1,080",19.28%,4.20%
"Gem County, Idaho","20,982","5,651","1,297",26.93%,6.18%,"10,919","1,395",52.04%,6.65%,"4,412","1,123",21.03%,5.35%
"Johnson County, Arkansas","25,756","7,705","1,296",29.92%,5.03%,"11,122","1,426",43.18%,5.54%,"6,929","1,207",26.90%,4.69%
"Routt County, Colorado","24,833","9,753","1,296",39.27%,5.22%,"11,389","1,368",45.86%,5.51%,"3,691","1,057",14.86%,4.26%
"Upshur County, West Virginia","22,710","8,059","1,293",35.49%,5.69%,"9,068","1,348",39.93%,5.94%,"5,583","1,117",24.58%,4.92%
"Texas County, Oklahoma","20,091","5,688","1,292",28.31%,6.43%,"10,226","1,444",50.90%,7.19%,"4,177","1,233",20.79%,6.14%
"Ashe County, North Carolina","26,927","7,770","1,290",28.86%,4.79%,"11,594","1,384",43.06%,5.14%,"7,563","1,203",28.09%,4.47%
"Lincoln County, Kentucky","24,685","8,798","1,289",35.64%,5.22%,"9,722","1,344",39.38%,5.44%,"6,165","1,140",24.97%,4.62%
"Jackson County, Oklahoma","24,551","8,004","1,289",32.60%,5.25%,"11,027","1,383",44.91%,5.63%,"5,520","1,143",22.48%,4.66%
"Edgefield County, South Carolina","25,433","8,373","1,288",32.92%,5.06%,"11,198","1,386",44.03%,5.45%,"5,862","1,206",23.05%,4.74%
"Johnson County, Kentucky","21,954","7,025","1,285",32.00%,5.85%,"8,852","1,335",40.32%,6.08%,"6,077","1,132",27.68%,5.16%
"Nobles County, Minnesota","21,597","7,035","1,284",32.57%,5.95%,"9,224","1,378",42.71%,6.38%,"5,338","1,141",24.72%,5.28%
"Marion County, Alabama","28,879","8,748","1,283",30.29%,4.44%,"10,968","1,349",37.98%,4.67%,"9,163","1,171",31.73%,4.05%
"Door County, Wisconsin","30,485","9,621","1,280",31.56%,4.20%,"14,287","1,352",46.87%,4.43%,"6,577","1,177",21.57%,3.86%
"Carroll County, Arkansas","28,741","6,656","1,277",23.16%,4.44%,"14,067","1,439",48.94%,5.01%,"8,018","1,257",27.90%,4.37%
"Minidoka County, Idaho","22,476","7,655","1,276",34.06%,5.68%,"10,270","1,383",45.69%,6.15%,"4,551","1,101",20.25%,4.90%
"Adair County, Missouri","22,712","7,484","1,276",32.95%,5.62%,"11,129","1,279",49.00%,5.63%,"4,099",991,18.05%,4.36%
"Bee County, Texas","23,057","5,818","1,276",25.23%,5.53%,"10,969","1,483",47.57%,6.43%,"6,270","1,318",27.19%,5.72%
"Spencer County, Kentucky","20,531","8,707","1,275",42.41%,6.21%,"8,669","1,320",42.22%,6.43%,"3,155","1,104",15.37%,5.38%
"Hardee County, Florida","24,058","6,251","1,273",25.98%,5.29%,"12,392","1,431",51.51%,5.95%,"5,415","1,251",22.51%,5.20%
"Orange County, Vermont","29,563","10,997","1,273",37.20%,4.31%,"13,607","1,295",46.03%,4.38%,"4,959",983,16.77%,3.33%
"Chattooga County, Georgia","24,138","7,294","1,272",30.22%,5.27%,"10,174","1,332",42.15%,5.52%,"6,670","1,104",27.63%,4.57%
"Bureau County, Illinois","32,680","12,312","1,271",37.67%,3.89%,"13,542","1,308",41.44%,4.00%,"6,826","1,093",20.89%,3.34%
"Mason County, Michigan","29,129","9,580","1,270",32.89%,4.36%,"11,782","1,318",40.45%,4.52%,"7,767","1,124",26.66%,3.86%
"Deaf Smith County, Texas","18,281","4,907","1,270",26.84%,6.95%,"9,121","1,447",49.89%,7.92%,"4,253","1,258",23.26%,6.88%
"Mecklenburg County, Virginia","30,207","8,865","1,270",29.35%,4.20%,"13,223","1,405",43.77%,4.65%,"8,119","1,279",26.88%,4.23%
"Prentiss County, Mississippi","24,022","8,071","1,269",33.60%,5.28%,"9,387","1,331",39.08%,5.54%,"6,564","1,146",27.32%,4.77%
